Categoría,Indicador,Rango,Fundamento Teórico
Estructuras Sistémicas,Reflejo sistemas culturales,0.0-1.0,Crítica artística al Fordismo
Estructuras Sistémicas,Productividad capitalista,0.0-1.0,Lógica capitalista racional
Estructuras Sistémicas,Alienación neoliberal,0.0-1.0,Individualización neoliberal
Estructuras Sistémicas,Racismo sistémico,0.0-1.0,Desigualdad racial sistémica
Manifestaciones Grupales,Malestar generalizado,0.0-1.0,Padecimiento colectivo crónico
Manifestaciones Grupales,Carencia de sentido,0.0-1.0,Meaninglessness social
Manifestaciones Grupales,Restricción de libertad,0.0-1.0,Opresión sistémica
Manifestaciones Grupales,Frustración de agencia,0.0-1.0,Falta de agencia efectiva
Dimensiones Medición,Desenganche,0.0-1.0,Boredom Proneness Scale
Dimensiones Medición,Alta excitación,0.0-1.0,MSBS - Alta arousal
Dimensiones Medición,Inatención,0.0-1.0,MSBS - Atención
Dimensiones Medición,Percepción tiempo lenta,0.0-1.0,MSBS - Percepción temporal
Dimensiones Medición,Estrategias bloqueadas,0.0-1.0,Respuestas bloqueadas
Dimensiones Medición,Angustia profunda,0.0-1.0,Potencial revolucionario
